topsoil_porosity,topsoil_alpha,topsoil_thetar,topsoil_ks,topsoil_n,clay_porosity,clay_alpha,clay_thetar,clay_ks,clay_n,wlt_porosity,wlt_alpha,wlt_thetar,wlt_ks,wlt_n,ult_porosity,ult_alpha,ult_thetar,ult_ks,ult_n,rh,lai,growstart,growend,wind,rmw,rmd,cn,beta,ar,liner_defects,liner_pinholes,weather_solrad,weather_precip,weather_temp,evap,runoff,precip,perc_topsoil,perc_liner,perc_clay,perc_wlt,perc_ult,drain_topsoil,wc_topsoil,wc_clay,wc_wlt,wc_ult
0.32499999999999996,0.0159,0.0841,0.00257,1.0963,0.522,0.2109,0.20540000000000003,2.421e-4,1.2708000000000002,0.405,0.008199999999999999,0.1889,4.572e-5,1.3983,0.39,0.0056,0.1985,1.275e-7,1.2954,76,2.69,138,267,4.43,221,391,46.1,1.6,237,4.6000000000000005,0.53,247.4,0.16,47.1,20.928,0,49.75,26.131,26.131,26.131,26.131,26.131,0.391,0.24776915883032857,0.47200000000000003,0.3689223261167197,0.36997589172700013
0.306,0.0137,0.0764,0.00168,1.0639,0.46499999999999997,0.2329,0.1392,4e-4,1.2953000000000001,0.395,0.0093,0.0829,1.291e-4,1.3511000000000002,0.393,0.0053,0.1879,1.004e-7,1.4644000000000001,75.8,0.66,129,273,4.97,219,383,60.1,1.44,244,5.9,0.614,241.7,0.14,48.4,21.914,0,42.449999999999996,18.135,18.135,18.135,18.135,18.135,0.101,0.2275092517610331,0.415,0.29100000000000004,0.37298280531640005
0.288,0.0121,0.054,0.00181,1.0703,0.536,0.23870000000000002,0.1499,8.939999999999999e-4,1.3153000000000001,0.39,0.0109,0.2645,4.457e-5,1.4644000000000001,0.398,0.0044,0.19940000000000002,8.61e-8,1.4066,76.19999999999999,4.71,128,266,4.18,234,382,72.2,1.12,234,9.200000000000001,0.726,254.9,0.15,46.5,20.659,0,46.099999999999994,23.06,23.06,23.06,23.06,23.06,0.081,0.20513053516996793,0.486,0.35934831294822195,0.3779864534466
0.305,0.016,0.0643,0.00256,1.0673,0.538,0.2058,0.1593,2.869e-4,1.3482,0.398,0.013000000000000001,0.1745,5.9300000000000005e-5,1.3266,0.4,0.0055000000000000005,0.1305,1.43e-7,1.3132000000000001,75.89999999999999,3.38,135,276,4.25,234,388,82.1,1.15,242,1.7,0.495,247,0.15,47.199999999999996,20.788,1.925,46.099999999999994,20.397,20.397,20.397,20.397,20.397,0.69,0.25367541145642225,0.48800000000000004,0.3293304000787227,0.37999999999999995
0.262,0.0115,0.0676,0.00246,1.0826,0.5650000000000001,0.2064,0.2277,3.12e-4,1.2549000000000001,0.399,0.012400000000000001,0.1249,5.25e-5,1.5271000000000001,0.38,0.0031,0.1416,9.44e-8,1.2665000000000002,76,2.9499999999999997,129,266,4.45,237,388,41.3,1.29,240,4.1000000000000005,0.653,253,0.15,48,21.579,0,46.099999999999994,21.913,21.913,21.913,21.913,21.913,0.308,0.19477395688426513,0.515,0.31692361339835484,0.3599843360004
0.319,0.0138,0.0649,0.00267,1.0537,0.533,0.2189,0.1965,2.622e-4,1.3168,0.377,0.012,0.0782,4.451e-5,1.4468,0.396,0.005,0.1544,1.206e-7,1.5407000000000002,76.3,1.01,134,267,4.38,231,385,40.3,1.45,247,7.300000000000001,0.801,254.4,0.14,48.199999999999996,21.534,0,42.449999999999996,18.448,18.448,18.448,18.448,18.448,0.168,0.2375577371228977,0.483,0.3410285730539672,0.3759881835420272
0.315,0.013999999999999999,0.0601,0.00253,1.076,0.45899999999999996,0.23370000000000002,0.1386,4.65e-4,1.3301,0.403,0.010499999999999999,0.0988,5.89e-5,1.3432000000000002,0.399,0.0029,0.1003,1.298e-7,1.3911,76.3,3.3699999999999997,127,269,4.45,223,383,46.3,1.34,234,2.6,0.593,244.7,0.15,48.5,21.299,0,46.099999999999994,22.045,22.045,22.045,22.045,22.045,0.456,0.24722008637668233,0.409,0.3167695717592936,0.37900000000000006
0.295,0.0119,0.07519999999999999,0.00236,1.0758,0.515,0.2121,0.0648,2.961e-4,1.3318,0.372,0.011200000000000002,0.1849,4.872e-5,1.4156000000000002,0.401,0.0021999999999999997,0.0718,1.39e-7,1.3617000000000001,75.8,0.42,129,266,4.6499999999999995,233,387,67.8,1.78,242,3.3,0.725,257.3,0.14,48.1,22.12,0,42.449999999999996,17.745,17.745,17.745,17.745,17.745,0.285,0.22341037243960613,0.465,0.3174522712331188,0.380994994082063
0.268,0.0127,0.0809,0.0022700000000000003,1.0772,0.442,0.21710000000000002,0.1669,2.174e-4,1.3776,0.406,0.0125,0.2839,7.56e-5,1.5110000000000001,0.403,0.005,0.23149999999999998,9.779999999999999e-8,1.2906000000000002,75.39999999999999,3.8899999999999997,140,272,4.28,226,380,68.7,1.35,232,4.5,0.733,243.6,0.12,46.4,20.526,0,35.15,12.167,12.167,12.167,12.167,12.167,0.157,0.19357260188266198,0.392,0.33830137848483444,0.38299330649908386
0.3,0.0127,0.0654,0.0021999999999999997,1.056,0.523,0.2088,0.24430000000000002,3.47e-4,1.3445,0.401,0.012900000000000002,0.1739,6.67e-5,1.3071000000000002,0.401,0.006900000000000001,0.2146,1.44e-7,1.1623000000000001,75.89999999999999,0.8,133,265,4.76,219,380,55.1,1.52,238,9.8,0.744,258.8,0.14,48.9,22.625,0,42.449999999999996,17.44,17.44,17.44,17.44,17.44,0.085,0.21999322507367197,0.473,0.3252855430287934,0.380971682346
0.27799999999999997,0.0131,0.077,0.0023699999999999997,1.082,0.505,0.2044,0.0584,2.744e-4,1.3179,0.41000000000000003,0.0066,0.1089,1.217e-4,1.2431,0.398,0.005900000000000001,0.16720000000000002,1.194e-7,1.2923,76.19999999999999,0.12,129,264,4.319999999999999,229,390,56.8,1.37,240,8.4,0.62,256.4,0.15,45.9,20.627,0,46.099999999999994,23.013,23.013,23.013,23.013,23.013,0.16,0.19948918926390194,0.455,0.35,0.37799999999999995
0.307,0.011800000000000001,0.07189999999999999,0.00238,1.0885,0.482,0.2185,0.0839,5.43e-4,1.3002,0.41800000000000004,0.0094,0.16620000000000001,5.3200000000000006e-5,1.4578,0.389,0.0029,0.1547,1.057e-7,1.3004,76,0.75,132,273,4.71,226,387,53.7,1.43,240,5.7,0.42700000000000005,248,0.14,47.3,21.351,0,42.449999999999996,18.633,18.633,18.633,18.633,18.633,0.166,0.2192291365588706,0.432,0.3397089511246032,0.369
0.318,0.013000000000000001,0.044,0.00167,1.0628,0.496,0.2076,0.1743,2.946e-4,1.3326,0.42500000000000004,0.0087,0.1534,4.975e-5,1.4002000000000001,0.41000000000000003,0.0141,0.1411,1.11e-7,1.312,76.1,0.8200000000000001,131,276,4.569999999999999,230,381,66.5,1.77,244,5.7,0.57,252.5,0.14,46.3,20.933,0,42.449999999999996,19.098,19.098,19.098,19.098,19.098,0.119,0.23511536747205086,0.446,0.35679009831485986,0.389980101108
0.313,0.013000000000000001,0.0618,0.0023899999999999998,1.0796999999999999,0.537,0.22660000000000002,0.1129,3.1e-4,1.2255,0.402,0.0087,0.1414,5.3400000000000004e-5,1.3527,0.41000000000000003,0.0026,0.2914,1.38e-7,1.4512,76.19999999999999,1.7,135,271,4.51,229,394,38.2,1.48,245,1.5999999999999999,0.744,247.7,0.1,46.199999999999996,20.482377777777778,0,27.85,4.931622222222223,4.931622222222223,4.931622222222223,4.931622222222222,4.931622222222222,0.136,0.21779300593832499,0.487,0.31538774248834733,0.3877718523923856
0.258,0.011300000000000001,0.0689,0.00172,1.0589,0.537,0.2089,0.1694,3.65e-4,1.2363,0.39,0.011,0.14200000000000002,8.23e-5,1.4879,0.41700000000000004,0.005900000000000001,0.1609,1.5199999999999998e-7,1.2583000000000002,76.1,0.06999999999999999,131,276,4.7,223,387,72.6,1.44,232,8.9,0.43700000000000006,249.9,0.15,48.5,21.891,0,46.099999999999994,21.822,21.822,21.822,21.822,21.822,0.087,0.1915250529976149,0.487,0.28398894222820265,0.3970000000000001
0.33199999999999996,0.011699999999999999,0.0713,0.00274,1.0692,0.552,0.20620000000000002,0.2223,5.17e-4,1.3087,0.385,0.012799999999999999,0.1518,4.766e-5,1.29,0.399,0.0043,0.1271,1.41e-7,1.2574,76,0.61,132,274,4.39,225,384,44.9,1.07,236,9.8,0.664,237.5,0.14,47.6,20.651,0,42.449999999999996,19.382,19.382,19.382,19.382,19.382,0.117,0.2400410656080179,0.502,0.3362730357302853,0.3789724476879999
0.32,0.014700000000000001,0.0576,0.003,1.0674,0.529,0.2209,0.1494,5.44e-4,1.3048,0.41000000000000003,0.013399999999999999,0.1768,5.61e-5,1.3646,0.41100000000000003,0.0147,0.1538,1.73e-7,1.4348,76,0.7,127,272,4.74,234,383,78.8,1.35,239,1.5,0.747,239,0.15,48,21.279,0.923,46.099999999999994,20.827,20.827,20.827,20.827,20.827,0.771,0.264357354468184,0.479,0.33995928439531925,0.3909674743883225
0.288,0.013399999999999999,0.0629,0.00264,1.0782,0.548,0.2139,0.1661,4.4e-4,1.3843,0.376,0.0072,0.1398,5.6200000000000004e-5,1.2438,0.396,0.0054,0.060200000000000004,1.109e-7,1.1837000000000002,76.39999999999999,2.21,135,263,4.37,233,382,76.8,1.8,229,7,0.753,243,0.11,46.1,20.109,0,31.5,9.021,9.021,9.021,9.021,9.021,0.07,0.19662381122795006,0.498,0.31805517816094747,0.3759896166890755
0.27499999999999997,0.013600000000000001,0.0953,0.0018600000000000001,1.0687,0.517,0.2134,0.116,4.3900000000000005e-4,1.2916,0.39,0.0173,0.1483,1.183e-4,1.3880000000000001,0.393,0.0054,0.133,1.1710000000000001e-7,1.1834,76,0.14,140,274,4.13,226,381,48.1,1.18,234,4.1000000000000005,0.807,242.9,0.16,48.699999999999996,21.049,0,49.75,26.165,26.165,26.165,26.165,26.165,0.236,0.2156998729932702,0.467,0.28815540010064644,0.37300000000000005
0.287,0.015200000000000002,0.082,0.0027300000000000002,1.0593,0.562,0.2068,0.1758,9.97e-4,1.2959,0.383,0.0081,0.20640000000000003,4.797e-5,1.2974,0.388,0.0061,0.14600000000000002,7.93e-8,1.4145,76.39999999999999,0.35000000000000003,136,270,4.33,234,395,47.5,1.58,230,3,0.602,251.6,0.14,49.4,21.819,0,42.449999999999996,18.015,18.015,18.015,18.015,18.015,0.316,0.22028466422458806,0.512,0.3370505578553631,0.3679990099673578
0.33199999999999996,0.0156,0.0727,0.00215,1.0668,0.523,0.22440000000000002,0.2339,2.85e-4,1.361,0.402,0.010100000000000001,0.23859999999999998,5.02e-5,1.3597000000000001,0.41300000000000003,0.0023,0.1825,1.29e-7,1.1873,76.5,2.32,131,265,4.75,231,392,51.4,1.15,247,1.5999999999999999,0.764,251.4,0.16,46.1,20.843,3.273,49.75,22.739,22.739,22.739,22.739,22.739,0.595,0.28398653293938975,0.473,0.35366620739759336,0.392975509056
0.311,0.0168,0.0563,0.0025,1.0848,0.513,0.2078,0.0988,2.592e-4,1.3173000000000001,0.41800000000000004,0.0086,0.1851,6.280000000000001e-5,1.3832,0.384,0.005900000000000001,0.2254,1.155e-7,1.3035,75.8,2.0199999999999996,131,268,5.24,229,382,45.9,1.96,242,7.5,0.542,250.4,0.13,46.6,21.826,0,38.8,14.554,14.554,14.554,14.554,14.554,0.12,0.212686401795338,0.463,0.334196047890073,0.364
0.321,0.0142,0.055,0.0015300000000000001,1.0816999999999999,0.515,0.2119,0.18209999999999998,3.83e-4,1.2975,0.40900000000000003,0.0076,0.1176,7.27e-5,1.3872,0.387,0.0083,0.1165,1.1819999999999999e-7,1.3975000000000002,76.19999999999999,1.78,130,270,4.34,233,381,37.7,1.34,230,6.300000000000001,0.512,250.4,0.14,47.3,20.97,0,42.449999999999996,19.091,19.091,19.091,19.091,19.091,0.089,0.2281282321259435,0.465,0.31700000000000006,0.36698948342363236
0.312,0.014599999999999998,0.0809,0.00207,1.0735999999999999,0.484,0.23170000000000002,0.1518,7.16e-4,1.2961,0.397,0.020999999999999998,0.24459999999999998,4.8740000000000004e-5,1.4313,0.398,0.0055000000000000005,0.13269999999999998,1.321e-7,1.2830000000000001,76.19999999999999,2.8499999999999996,136,267,4.62,235,393,64.1,1.6400000000000001,237,1.2999999999999998,0.697,258.2,0.13,47,21.497,0,38.8,14.641,14.641,14.641,14.641,14.641,0.362,0.24671535093447344,0.434,0.34719301098787825,0.3779747182025999
0.268,0.011699999999999999,0.0798,0.00238,1.0655,0.518,0.2466,0.1413,3.0500000000000004e-4,1.3069,0.42800000000000005,0.011200000000000002,0.14,4.567e-5,1.3489,0.40700000000000003,0.0047,0.1407,1.0230000000000001e-7,1.3555000000000001,76.5,3.57,127,274,4.37,233,393,56.7,1.6,234,1.9,0.671,253.3,0.15,47.4,21.0545,0.901,46.099999999999994,21.2835,21.2835,21.2835,21.2835,21.2835,0.5609999999999999,0.2187598406563457,0.468,0.3862219030430876,0.38699615352575345
0.315,0.0139,0.0836,0.00196,1.0458,0.501,0.2159,0.1774,3.29e-4,1.318,0.378,0.008799999999999999,0.0756,1.311e-4,1.4753,0.382,0.0112,0.14579999999999999,1.1110000000000001e-7,1.3094000000000001,75.8,1.27,139,264,4.18,234,384,58.4,1.3900000000000001,244,7,0.645,252.1,0.13,48.1,21.349,0,38.8,15.061,15.061,15.061,15.061,15.061,0.09,0.24057910849427286,0.451,0.256,0.3619929290422682
0.284,0.0119,0.063,0.00219,1.0716999999999999,0.484,0.23070000000000002,0.10120000000000001,3.95e-4,1.2685,0.40900000000000003,0.008199999999999999,0.1698,6.54e-5,1.5152,0.384,0.005900000000000001,0.1815,1.218e-7,1.3638000000000001,75.6,0.84,133,266,4.03,231,387,40.7,1.26,241,1.9,0.804,249.6,0.13,48,21.096,0,38.8,15.086,15.086,15.086,15.086,15.086,0.318,0.21678681234367989,0.434,0.30960419159277297,0.36399999999999993
0.29,0.012199999999999999,0.0615,0.0024200000000000003,1.0801,0.519,0.2136,0.1026,4.7400000000000003e-4,1.3088,0.402,0.0098,0.0931,2.3700000000000001e-4,1.3766,0.396,0.009899999999999999,0.2031,1.0790000000000001e-7,1.4356,76,3.53,133,277,4.22,230,385,53.4,1.51,232,3,0.611,250.1,0.15,47.6,21.021,0,46.099999999999994,22.396,22.396,22.396,22.396,22.396,0.383,0.22176911830676077,0.469,0.289,0.376
0.261,0.0149,0.06670000000000001,0.00204,1.0713,0.543,0.2303,0.19280000000000003,3.7200000000000004e-4,1.2633,0.402,0.0108,0.19740000000000002,5.3700000000000004e-5,1.3809,0.397,0.008499999999999999,0.1496,1.42e-7,1.2783,75.89999999999999,0.61,136,276,3.74,229,388,76.2,1.6300000000000001,233,8.8,0.78,254.4,0.14,46.6,20.3,0,42.449999999999996,19.753,19.753,19.753,19.753,19.753,0.097,0.18430254253010775,0.493,0.3382124890547277,0.37697219257400005
0.295,0.012900000000000002,0.0565,0.00232,1.0712,0.489,0.2121,0.132,5.98e-4,1.3366,0.42900000000000005,0.012199999999999999,0.096,4.533e-5,1.3973,0.386,0.0083,0.1585,7.529999999999999e-8,1.1697000000000002,75.69999999999999,3.26,135,273,4.85,236,389,70.9,1.57,236,2.6999999999999997,0.42300000000000004,246.1,0.16,47.5,21.629,0,49.75,25.36,25.36,25.36,25.36,25.36,0.461,0.23427974020524475,0.439,0.3920760378152505,0.36598920867780005
0.348,0.0162,0.0668,0.00217,1.0735999999999999,0.514,0.20820000000000002,0.1191,3.68e-4,1.3309,0.362,0.013399999999999999,0.20690000000000003,5.279e-5,1.3136,0.395,0.0041,0.1436,1.5e-7,1.2042000000000002,75.89999999999999,1.52,137,271,4.45,218,386,42.8,1.11,246,2.1,0.524,260.2,0.12,45.6,20.914,0,35.15,11.694,11.694,11.694,11.694,11.694,0.242,0.26319424897109694,0.464,0.30457093920800143,0.3749834634413389
0.291,0.0144,0.0783,0.00262,1.0646,0.492,0.20700000000000002,0.15150000000000002,3.0000000000000003e-4,1.2393,0.39,0.0108,0.1292,5.299e-5,1.3188000000000002,0.405,0.0036,0.1115,1.37e-7,1.4193,75.6,3.23,135,270,4.38,237,394,53.6,1.6300000000000001,235,3.9999999999999996,0.672,251,0.14,46.6,20.971,0,42.449999999999996,18.887,18.887,18.887,18.887,18.887,0.292,0.22122755073578443,0.442,0.32138517533241484,0.385
0.258,0.0143,0.0573,0.00259,1.0751,0.503,0.2087,0.1519,5.95e-4,1.2679,0.378,0.014499999999999999,0.2157,1.43e-4,1.5137,0.393,0.0044,0.2369,1.25e-7,1.4931,75.89999999999999,2.8299999999999996,131,264,4.29,220,390,65.3,1.33,239,7.300000000000001,0.557,255.5,0.12,46.8,21.041,0,35.15,11.724,11.724,11.724,11.724,11.724,0.085,0.17442491783372285,0.453,0.2825878906021358,0.37299223191764663
0.301,0.0144,0.0733,0.00247,1.0863,0.529,0.2338,0.1089,5.01e-4,1.3328,0.406,0.0071,0.12240000000000001,7.400000000000001e-5,1.4043,0.41300000000000003,0.005,0.1971,1.244e-7,1.4056000000000002,76,2.9,132,267,4.42,221,385,45.4,1.65,247,6.4,0.476,253.5,0.14,47.1,21.187,0,42.449999999999996,18.805,18.805,18.805,18.805,18.805,0.158,0.21209658498838344,0.479,0.318,0.393
0.32899999999999996,0.0156,0.06709999999999999,0.00217,1.08,0.518,0.2093,0.0804,2.5770000000000003e-4,1.3121,0.369,0.0108,0.199,6.86e-5,1.5102,0.41500000000000004,0.004200000000000001,0.1661,1.34e-7,1.2109,76.3,5.09,140,274,4.63,234,381,59.1,1.3900000000000001,234,1.9,0.634,245.5,0.13,47.699999999999996,21.202,0,38.8,14.936,14.936,14.936,14.936,14.936,0.362,0.2564875509183482,0.468,0.28937687290027525,0.395
0.27999999999999997,0.013999999999999999,0.061399999999999996,0.00194,1.0599,0.485,0.21300000000000002,0.0632,3.4100000000000005e-4,1.2656,0.399,0.0116,0.0986,1.052e-4,1.3015,0.396,0.0093,0.20900000000000002,1.34e-7,1.1914,75.69999999999999,0.53,139,275,4.609999999999999,231,395,54.7,1.27,235,5.800000000000001,0.822,264.2,0.13,46.199999999999996,21.593,0,38.8,14.805,14.805,14.805,14.805,14.805,0.102,0.2025516155056571,0.435,0.298,0.3759742334860002
0.32799999999999996,0.0126,0.0718,0.00202,1.0575999999999999,0.511,0.2607,0.1296,3.73e-4,1.3025,0.391,0.013600000000000001,0.2203,1.46e-4,1.4402000000000001,0.392,0.0038,0.20729999999999998,1.63e-7,1.4558,75.5,2.2899999999999996,140,265,4.64,222,386,70,1.59,235,6.9,0.501,252.6,0.15,48.9,22.361,0,46.099999999999994,21.303,21.303,21.303,21.303,21.303,0.136,0.24960458815397024,0.461,0.30242448827208507,0.37196683517999996
0.261,0.013999999999999999,0.0686,0.00192,1.072,0.46599999999999997,0.21810000000000002,0.1474,4.44e-4,1.3053000000000001,0.386,0.0243,0.1411,8.45e-5,1.5802,0.383,0.0034,0.13319999999999999,1.8e-7,1.2588000000000001,76.19999999999999,2.5199999999999996,139,275,4.58,223,383,45.4,1.92,243,5.4,0.535,249.1,0.14,47.1,21.094,0,42.449999999999996,18.918,18.918,18.918,18.918,18.918,0.138,0.1885170438024643,0.416,0.28076093686294473,0.363
0.345,0.0161,0.1014,0.00197,1.0712,0.46699999999999997,0.22870000000000001,0.1306,4.13e-4,1.3161,0.41000000000000003,0.0081,0.1077,9.38e-5,1.4515,0.41000000000000003,0.0092,0.1246,1.271e-7,1.3218,75.89999999999999,0.41000000000000003,140,269,4.359999999999999,227,392,59.1,1.51,241,4.300000000000001,0.514,254.8,0.12,46.3,20.878,0,35.15,11.862,11.862,11.862,11.862,11.862,0.11,0.2573369128124276,0.417,0.29900000000000004,0.3899907478634418
0.301,0.012299999999999998,0.0612,0.00248,1.0738,0.474,0.2164,0.1208,3.24e-4,1.338,0.394,0.009000000000000001,0.2,4.639e-5,1.4220000000000002,0.394,0.0055000000000000005,0.15000000000000002,1.45e-7,1.2929000000000002,76.19999999999999,1.1,139,270,4.37,231,383,36.5,1.3,245,7.2,0.8140000000000001,256.2,0.13,48,21.557,0,38.8,14.828,14.828,14.828,14.828,14.828,0.115,0.21219117964981968,0.424,0.34377013485684155,0.37397142723199983
0.288,0.0158,0.06659999999999999,0.00266,1.0736999999999999,0.46599999999999997,0.229,0.1087,2.6710000000000004e-4,1.2641,0.42400000000000004,0.013500000000000002,0.1407,6.7e-5,1.3825,0.384,0.0061,0.19119999999999998,9.989999999999999e-8,1.2355,75.89999999999999,1.49,140,274,4.6,221,391,68.6,1.41,247,4.6000000000000005,0.43200000000000005,244.9,0.16,45,20.172,0,49.75,26.868,26.868,26.868,26.868,26.868,0.41,0.22179893127553707,0.416,0.3341533469216074,0.364
0.27699999999999997,0.015200000000000002,0.0727,0.00224,1.069,0.489,0.2089,0.1519,5.1e-4,1.363,0.40900000000000003,0.0161,0.1755,7.47e-5,1.4552,0.401,0.0132,0.21189999999999998,1.32e-7,1.2229,76.1,0.68,138,272,4.05,233,387,79.3,1.59,239,1.7999999999999998,0.572,252.6,0.12,50.699999999999996,22.207,0,35.15,10.406,10.406,10.406,10.406,10.406,0.237,0.20524082791480844,0.439,0.30314125926297447,0.3809872868562216
0.31,0.0133,0.0521,0.00211,1.0823,0.488,0.226,0.193,5.26e-4,1.3215000000000001,0.399,0.0066,0.17170000000000002,4.983e-5,1.3913,0.399,0.0031999999999999997,0.1038,1.48e-7,1.4749,76,0.3,133,266,4.42,234,388,45.5,2.29,234,4.800000000000001,0.533,263.5,0.14,45.8,21.072,0,42.449999999999996,18.907,18.907,18.907,18.907,18.907,0.171,0.2225274322188865,0.438,0.3378813024127359,0.37900000000000006
0.305,0.012900000000000002,0.0739,0.00197,1.0919,0.498,0.2137,0.2031,5.05e-4,1.2904,0.396,0.014499999999999999,0.1691,1.2770000000000001e-4,1.4902000000000002,0.4,0.0074,0.2542,1.2699999999999999e-7,1.2472,76.39999999999999,3.3699999999999997,137,265,4.609999999999999,231,391,60.8,1.32,242,2.6,0.625,252.1,0.14,48.4,21.734,0,42.449999999999996,18.154,18.154,18.154,18.154,18.154,0.262,0.2292342907818727,0.448,0.2829434922448962,0.37997601928399993
